Membership No  Date Joined  Active  
    37358      2019-1-17    no    
    18087      2018-7-25    no    
    91386      2020-6-20    no    
    66235      2015-1-10    no    
    44531      2020-4-19    no    
    43587      2018-10-6    no    
    16264      2019-10-18   no    
    68009      2018-2-11    no    
    51278      2016-2-2     no    
    30407      2017-9-11    no    
    74664      2016-3-15    no    
    54224      2020-10-6    no    
    80526      2019-11-7    no    
    65809      2015-11-10   no    
